y_true,y_pred,abs_error,abs_error_percetage,nll,v,alpha,beta,abs_error_percentage
-35.0,-24.76705,10.232950210571289,10.232950210571289,4.4312706,0.026269516,1.5509989,1.8903938e-05,29.237000601632253
-64.0,-45.57842,18.421581268310547,18.421581268310547,12.929003,0.009617933,2.2175596,1.6468875e-06,28.78372073173523
-62.0,-44.517124,17.48287582397461,17.48287582397461,4.0763154,0.009201994,1.1287646,1.3411869e-05,28.19818681286227
1.2,1.5290402,0.3290402173995972,0.3290402173995972,-1.565777,0.016684528,1.0112305,8.950385e-05,27.420018116633106
-73.0,-53.34317,19.656829833984375,19.656829833984375,1.4062825,0.014251539,1.0249949,0.00041688056,26.92716415614298
-59.0,-43.55287,15.447128295898438,15.447128295898438,2.29582,0.0054917154,1.014734,2.391732e-05,26.181573382878707
-82.0,-102.81897,20.8189697265625,20.8189697265625,3.4010944,0.0016929907,1.0234694,5.844162e-06,25.388987471417682
-25.0,-19.179094,5.820905685424805,5.820905685424805,0.024494663,0.016350262,1.038526,5.562493e-05,23.28362274169922
-1.88,-2.2935956,0.4135955524444581,0.4135955524444581,-3.0300233,0.0052186335,1.2761124,1.0871813e-06,21.99976342789671
-37.0,-28.875027,8.12497329711914,8.12497329711914,1.5628986,0.028124113,1.3071854,6.1900435e-05,21.95938728951119
-73.0,-88.61466,15.614662170410156,15.614662170410156,2.528295,0.0027891027,1.0224366,9.9554545e-06,21.38994817864405
28.0,22.198408,5.801591873168945,5.801591873168945,-0.37828892,0.001963119,1.000028,1.8661127e-05,20.719970975603378
-73.0,-88.05357,15.053573608398438,15.053573608398438,2.4376721,0.003044505,1.0263864,1.0800713e-05,20.621333710134845
-66.0,-79.55261,13.5526123046875,13.5526123046875,2.1113255,0.004095116,1.0390332,1.5373256e-05,20.534261067708332
-51.0,-40.791416,10.20858383178711,10.20858383178711,0.19751874,0.019052418,1.0079663,0.0017083773,20.016831042719822
-29.0,-34.753414,5.753414154052734,5.753414154052734,-0.1610991,0.025539288,1.1644441,0.00013064516,19.83935915190598
13.0,10.555831,2.444169044494629,2.444169044494629,-0.946956,0.007557389,1.0136884,5.4081333e-06,18.801300342266376
-59.0,-70.07048,11.070480346679688,11.070480346679688,0.25908917,0.0063495515,1.0023211,0.00059479504,18.763526011321503
-104.0,-85.11729,18.882713317871094,18.882713317871094,2.909739,0.0033726743,1.0312843,1.4683928e-05,18.15645511333759
-74.0,-60.76352,13.236480712890625,13.236480712890625,3.6681707,0.007884808,1.1886196,8.812453e-06,17.887136098500843
-25.0,-29.197006,4.1970062255859375,4.1970062255859375,-0.7327903,0.029336236,1.1503156,0.00016855507,16.78802490234375
-104.0,-86.74223,17.257766723632812,17.257766723632812,2.440432,0.0032645713,1.0250776,1.753872e-05,16.59400646503155
-104.0,-87.03891,16.961090087890625,16.961090087890625,2.6001449,0.0031435548,1.0300018,1.3632348e-05,16.308740469125603
-75.0,-62.788,12.21200180053711,12.21200180053711,0.9494786,0.004950899,1.0120454,5.3890395e-05,16.282669067382812
7.6,6.4160833,1.1839166641235348,1.1839166641235348,-1.6174436,0.0050215847,1.3505087,1.0356946e-06,15.577850843730722
15.0,12.7407675,2.259232521057129,2.259232521057129,-1.0700601,0.007372721,1.00071,7.819721e-05,15.06155014038086
-66.0,-56.07738,9.922618865966797,9.922618865966797,3.3045604,0.007222798,1.2203629,5.270632e-06,15.034271009040602
-57.0,-65.4105,8.410499572753906,8.410499572753906,0.8954855,0.006340758,1.0531845,2.2213153e-05,14.755262408340187
-70.0,-80.30816,10.308158874511719,10.308158874511719,1.7737504,0.003911577,1.0589116,9.4902e-06,14.725941249302455
-94.0,-80.30027,13.699729919433594,13.699729919433594,3.8188536,0.0028475937,1.1203676,2.5301597e-06,14.574180765354887
-66.0,-56.492367,9.507633209228516,9.507633209228516,1.78467,0.008021368,1.0997552,1.622013e-05,14.405504862467447
10.5,9.007464,1.4925355911254883,1.4925355911254883,-1.4454114,0.0059525617,1.0375756,1.6442655e-06,14.214624677385602
16.0,13.75867,2.241330146789551,2.241330146789551,-0.29528156,0.010359678,1.000223,0.00067317416,14.008313417434692
7.6,6.5542326,1.0457674026489254,1.0457674026489254,-1.9094394,0.0042474777,1.4992819,1.0131623e-06,13.760097403275337
8.88,7.751712,1.1282881546020516,1.1282881546020516,-1.8045522,0.0096917255,1.0069578,2.2938977e-05,12.70594768696004
7.6,6.636298,0.9637018203735348,0.9637018203735348,-2.0493662,0.0042691207,1.56995,1.01102e-06,12.68028711017809
-37.0,-41.459026,4.459026336669922,4.459026336669922,0.19442557,0.01564031,1.2727953,2.2057207e-05,12.051422531540329
-37.0,-41.439754,4.439754486083984,4.439754486083984,0.8865966,0.013717984,1.3663776,1.0633524e-05,11.999336448875633
1.48,1.6556348,0.17563476085662844,0.17563476085662844,-3.3932526,0.006663395,1.3192141,1.1179302e-06,11.867213571393812
-90.0,-79.731804,10.268196105957031,10.268196105957031,0.2830311,0.004240303,1.007875,8.80601e-05,11.409106784396702
-76.0,-84.42744,8.427436828613281,8.427436828613281,0.93218505,0.003132667,1.0293423,1.0195478e-05,11.088732669228001
-103.0,-91.73283,11.267173767089844,11.267173767089844,0.6224416,0.00405166,1.017657,5.729832e-05,10.939003657368781
-71.0,-78.76005,7.760047912597656,7.760047912597656,3.133169,0.0025561594,1.3199809,1.3716252e-06,10.929644947320643
-42.0,-37.459614,4.540386199951172,4.540386199951172,0.5381252,0.019489495,1.3923671,2.3052226e-05,10.810443333217076
-89.0,-79.41211,9.587890625,9.587890625,0.42392597,0.004217634,1.0148401,4.627166e-05,10.77291081460674
7.26,8.019328,0.7593281173706057,0.7593281173706057,-1.7104621,0.009836291,1.0046945,3.5888424e-05,10.459064977556553
-88.0,-97.11435,9.114349365234375,9.114349365234375,0.20613834,0.0025353008,1.0079674,3.6732356e-05,10.357215187766336
-104.0,-93.50025,10.499748229980469,10.499748229980469,1.1509018,0.0021997727,1.015355,1.08970235e-05,10.095911759596605
-68.0,-74.85027,6.850273132324219,6.850273132324219,0.6608428,0.0056401533,1.0822589,1.4207926e-05,10.07393107694738
19.71,17.735357,1.9746427154541024,1.9746427154541024,0.33542487,0.011383634,1.0000604,0.0027208794,10.018481559888901
-88.0,-96.690186,8.690185546875,8.690185546875,0.01734516,0.004405619,1.0066338,0.00025795176,9.875210848721592
-84.0,-92.195175,8.195175170898438,8.195175170898438,0.032581687,0.0033156339,1.0117935,4.7734728e-05,9.756160917736235
-25.0,-22.589714,2.4102859497070312,2.4102859497070312,-0.96998054,0.017224645,1.0133159,0.00023160673,9.641143798828125
7.26,7.9414434,0.6814434432983401,0.6814434432983401,-2.4751925,0.007021803,1.0203233,3.4387222e-06,9.386273323668597
-101.0,-91.54457,9.455429077148438,9.455429077148438,0.08673433,0.0025217591,1.0036421,7.398578e-05,9.361810967473701
7.26,7.9394445,0.6794445419311526,0.6794445419311526,-2.5294855,0.0065458124,1.0263803,2.4717774e-06,9.358740246985574
-16.0,-17.496376,1.4963760375976562,1.4963760375976562,-1.6331222,0.016137425,1.2303197,7.819914e-06,9.352350234985352
-81.0,-88.48639,7.48638916015625,7.48638916015625,2.0824587,0.0022139633,1.136304,1.765387e-06,9.242455753279321
-75.0,-68.22507,6.774932861328125,6.774932861328125,-0.081287354,0.0051164404,1.0025512,0.0003494809,9.033243815104166
-74.0,-80.3093,6.309303283691406,6.309303283691406,0.46719542,0.0039048425,1.0594816,9.367457e-06,8.526085518501901
-96.0,-87.88595,8.114051818847656,8.114051818847656,0.10094009,0.0038081554,1.013124,4.254381e-05,8.452137311299643
